id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
3747,I,0.9625,0.75,0.25,8.8166945,3.1467945,1.6159215,2.11203775,7.0
3748,M,1.6125,1.3125,0.4375,38.8104655,19.03668925,8.83086925,10.489315,10.0
3749,M,1.5625,1.2,0.4125,29.41260625,12.68640125,6.13766675,8.6465975,12.0
3750,M,1.5875,1.2,0.4,38.9805625,17.6617385,8.29222875,9.355335,12.0
3751,F,1.175,0.8875,0.2875,13.154168,4.72019175,3.01922175,4.6776675,11.0
3752,M,1.45,1.075,0.3875,26.94619975,10.9712565,6.8889285,8.9300925,10.0
3753,I,1.0,0.75,0.25,7.75358825,3.92640575,1.51669825,2.4097075,6.0
3754,I,1.15,0.8875,0.3125,12.60135275,5.37223025,3.18931875,3.2601925,7.0
3755,F,1.5125,1.225,0.4125,37.874932,16.96717575,7.78193775,10.3475675,12.0
3756,M,1.4,1.0625,0.375,28.19357775,14.288148,5.9250455,7.7961125,9.0
3757,I,1.1625,0.875,0.275,12.94154675,5.499803,2.8066005,3.685435,8.0
3758,M,1.575,1.225,0.45,35.3518265,14.69921575,8.3631025,8.9300925,15.0
3759,F,1.8,1.4375,0.5,64.4384135,31.62386725,13.19669225,18.8524175,12.0
3760,I,0.45,0.3375,0.1,0.75126175,0.35436875,0.1417475,0.2551455,3.0
3761,I,0.875,0.5875,0.2,5.3013565,2.26796,1.190679,1.587572,6.0
3762,M,0.9875,0.75,0.225,10.0073735,4.23825025,2.05533875,3.118445,14.0
3763,I,1.0625,0.7625,0.275,9.08601475,3.69960975,2.324659,2.6932025,10.0
3764,F,1.3625,1.0125,0.3875,23.37416275,10.87203325,5.57067675,6.23689,9.0
3765,F,1.525,1.175,0.3875,28.42037375,10.9712565,5.82582225,9.07184,14.0
3766,F,1.3375,1.05,0.3875,21.95668775,8.7032965,4.9611625,6.23689,9.0
3767,I,1.45,1.125,0.4,26.365035,11.3114505,5.51397775,7.5126175,8.0
3768,I,1.1125,0.8375,0.3125,9.93649975,4.77689075,1.7860185,3.35941575,7.0
3769,M,1.5375,1.1875,0.4375,42.2124055,14.3731965,8.51902475,11.056305,17.0
3770,I,0.925,0.6875,0.25,7.55514175,3.118445,1.51669825,2.14038725,6.0
3771,I,1.2,0.925,0.3125,15.8473705,7.98038425,2.99087225,3.9405805,9.0
3772,F,1.4375,1.125,0.3875,27.22969475,12.20445975,6.406987,7.5126175,8.0
3773,F,1.6125,1.2125,0.3875,33.92017675,16.3576615,8.164656,8.0796075,10.0
3774,I,0.925,0.6875,0.2125,6.27941425,2.7499015,1.43164975,1.984465,6.0
3775,I,0.9375,0.6625,0.2125,5.5848515,2.53728025,1.13398,1.5592225,8.0
3776,I,0.7875,0.625,0.225,5.7549485,2.08368825,1.077281,1.70097,6.0
3777,I,1.125,0.85,0.3,13.39513875,5.85417175,2.721552,3.5436875,7.0
3778,M,1.5625,1.2125,0.3875,36.457457,15.35125425,5.68407475,10.0640725,12.0
3779,M,1.275,1.0,0.3375,17.53416575,7.767763,4.60679375,5.2446575,9.0
3780,M,1.1625,0.9375,0.3125,14.64251675,6.13766675,3.18931875,4.6776675,8.0
3781,M,1.4625,1.0875,0.4,27.76833525,12.6722265,4.8477645,7.7961125,10.0
3782,F,1.6875,1.3375,0.5375,52.900167,21.0069795,10.50348975,16.44271,14.0
3783,M,1.5,1.2125,0.4375,31.99241075,14.401546,7.597666,8.50485,10.0
3784,I,0.7,0.525,0.1625,3.38776525,1.70097,0.56699,0.7654365,5.0
3785,M,1.5125,1.1875,0.4375,33.89182725,11.793392,8.50485,8.60407325,11.0
3786,F,1.525,1.175,0.425,31.22697425,12.3887315,6.577084,9.07184,13.0
3787,M,1.5125,1.1875,0.4125,33.849303,14.911837,8.901743,8.9300925,11.0
3788,F,1.5125,1.2,0.4,31.08522675,15.03940975,6.16601625,9.4970825,10.0
3789,M,1.6125,1.4,0.5625,49.34230475,21.89998875,9.51125725,15.025235,11.0
3790,I,0.7,0.525,0.1375,3.345241,1.17650425,0.75126175,0.94970825,7.0
3791,M,1.5625,1.225,0.375,34.65726375,16.68368075,6.44951125,9.7805775,11.0
3792,M,1.8,1.375,0.4375,44.09764725,20.34076625,10.9712565,12.47378,9.0
3793,I,1.25,0.9375,0.3,16.88212725,6.4920355,3.18931875,5.6699,8.0
3794,I,0.4375,0.3,0.0,0.97805775,0.3118445,0.21262125,0.283495,3.0
3795,F,1.6625,1.2625,0.4125,38.14425225,18.4555245,7.7394135,10.20582,12.0
3796,I,0.9625,0.6625,0.225,6.13766675,2.721552,1.0489315,1.74349425,6.0
3797,I,1.0375,0.775,0.25,10.262519,4.706017,2.42388225,3.118445,8.0
3798,M,1.6125,1.2875,0.475,37.98833,13.50853675,7.86698625,11.1980525,15.0
3799,I,0.8375,0.65,0.2375,5.10291,2.0128145,1.23320325,1.5592225,9.0
3800,I,1.375,1.0375,0.35,19.66037825,9.62465525,3.95475525,5.953395,9.0
3801,I,1.05,0.825,0.3,9.8372765,3.69960975,2.14038725,3.118445,9.0
3802,M,1.525,1.1625,0.475,36.55668025,11.26892625,7.29999625,10.149121,17.0
3803,I,1.6,1.3125,0.375,27.4139665,11.07047975,4.77689075,8.221355,9.0
3804,M,1.75,1.4125,0.5125,55.8201655,18.0586315,11.793392,16.44271,11.0
3805,M,1.2375,0.95,0.3375,16.91047675,7.55514175,3.38776525,4.35164825,7.0
3806,I,1.2875,0.95,0.2625,15.66309875,6.7755305,3.78465825,4.6776675,8.0
3807,F,1.4375,1.0875,0.375,24.38057,11.396499,6.78970525,6.520385,8.0
3808,I,1.075,0.8375,0.2875,11.49572225,5.4147545,2.608154,3.2601925,8.0
3809,F,1.5125,1.175,0.3625,26.988724,12.79979925,5.896696,7.087375,8.0
3810,M,0.9625,0.725,0.2375,7.49844275,2.7499015,1.0489315,2.4097075,9.0
3811,I,0.7125,0.525,0.175,3.16096925,1.360776,0.55281525,0.850485,5.0
3812,M,1.4875,1.1625,0.4375,29.8520235,11.6516445,5.329706,9.355335,12.0
3813,F,1.325,1.05,0.35,18.6823205,8.60407325,3.95475525,5.2446575,12.0
3814,M,1.3125,1.025,0.375,23.700182,9.4970825,5.62737575,7.087375,14.0
3815,I,0.825,0.575,0.2375,3.96893,1.644271,1.03475675,1.304077,7.0
3816,M,1.5625,1.2,0.375,30.4190135,14.13222575,6.123492,8.9300925,9.0
3817,F,1.6625,1.2,0.45,43.02036625,19.6462035,9.6104805,11.32562525,13.0
3818,I,0.75,0.575,0.2,3.61456125,1.2190285,1.13398,1.13398,6.0
3819,F,1.375,1.0375,0.3625,21.659018,7.824462,4.49339575,7.37087,10.0
3820,F,1.5875,1.225,0.3875,37.74735925,16.23008875,8.15048125,9.7238785,11.0
3821,F,1.425,1.125,0.45,34.03357475,13.25339125,5.5281525,9.7805775,16.0
3822,I,1.225,0.9875,0.3125,16.71203025,7.087375,3.41611475,5.10291,10.0
3823,I,0.775,0.5875,0.175,5.00368675,2.2396105,0.77961125,1.417475,6.0
3824,F,1.45,1.175,0.3625,27.8675585,13.834556,5.1312595,8.221355,9.0
3825,F,1.4875,1.125,0.3625,23.530085,11.1413535,5.5848515,6.747181,10.0
3826,I,1.4625,1.1625,0.375,27.21552,10.56018875,5.953395,8.9300925,9.0
3827,I,1.425,1.075,0.375,25.2027055,10.73028575,4.86193925,9.07184,14.0
3828,M,1.575,1.1875,0.375,33.46658475,18.5122235,6.61960825,8.6465975,10.0
3829,M,1.2625,0.975,0.3375,20.0997955,5.6699,4.422522,6.23689,14.0
3830,F,1.175,0.875,0.35,13.9196045,5.40057975,3.04757125,5.386405,13.0
3831,M,0.925,0.7,0.2875,6.8889285,2.65067825,1.6726205,2.1262125,7.0
3832,F,1.0875,0.8125,0.275,10.886208,4.9044635,2.05533875,3.118445,9.0
3833,M,1.6125,1.25,0.4375,39.405805,19.83047525,8.88756825,11.056305,10.0
3834,M,1.5375,1.175,0.4,29.880373,11.97766375,6.59125875,10.20582,13.0
3835,I,0.6125,0.4,0.1125,1.13398,0.283495,0.226796,0.24097075,4.0
3836,I,1.225,0.925,0.3125,14.61416725,6.0951425,2.778251,4.706017,8.0
3837,I,1.1625,0.925,0.275,14.004653,6.25106475,2.5798045,3.75630875,8.0
3838,M,1.5,1.25,0.4125,31.808139,12.94154675,6.4920355,9.6671795,10.0
3839,M,1.55,1.1875,0.3875,31.75144,14.16057525,7.38504475,7.5126175,9.0
3840,F,1.575,1.2125,0.475,35.25260325,15.5071765,7.86698625,11.056305,13.0
3841,F,1.475,1.2,0.4125,29.8520235,12.0485375,6.2085405,8.50485,12.0
3842,M,1.2625,0.975,0.2625,15.74814725,7.257472,3.7137845,4.3941725,8.0
3843,M,1.3625,1.025,0.35,18.313777,8.43397625,4.32329875,5.953395,9.0
3844,M,1.675,1.3125,0.475,38.42774725,15.422128,9.17106325,10.77281,8.0
3845,I,1.0375,0.8125,0.275,12.99824575,5.6699,2.22543575,2.9199985,6.0
3846,I,0.8,0.625,0.2,5.556502,1.814368,1.020582,1.417475,7.0
3847,F,1.1625,0.9375,0.3,16.8112535,8.1930055,3.67126025,4.60679375,10.0
3848,M,1.5875,1.3125,0.425,33.38153625,13.25339125,7.75358825,11.056305,11.0
3849,M,1.4125,1.0625,0.3625,24.7491135,11.60912025,5.8116475,5.386405,10.0
3850,F,1.45,1.125,0.3875,29.937072,12.133586,7.087375,7.824462,9.0
3851,F,1.375,1.0625,0.35,22.80717275,10.2908685,5.8683465,6.0951425,9.0
3852,I,0.9,0.6625,0.225,5.14543425,1.74349425,1.0489315,1.8427175,7.0
3853,I,0.5375,0.4125,0.1375,1.6726205,0.7654365,0.26932025,0.35436875,7.0
3854,M,1.6125,1.2625,0.425,37.42134,17.73261225,7.86698625,10.20582,10.0
3855,F,1.5875,1.275,0.4375,33.55163325,14.0330025,8.1363065,8.5331995,9.0
3856,M,1.6,1.225,0.4,34.7848365,16.37183625,6.64795775,8.788345,9.0
3857,I,1.0375,0.775,0.2875,10.73028575,4.29494925,2.33883375,3.2601925,8.0
3858,I,1.125,0.9125,0.2875,12.757275,5.4147545,2.45223175,4.1106775,8.0
3859,F,1.55,1.2125,0.4,37.54891275,19.29183475,7.2858215,9.7805775,12.0
3860,M,1.5125,1.2125,0.4125,29.69610125,11.8784405,7.427569,8.50485,10.0
3861,F,1.625,1.2125,0.375,32.95629375,16.51358375,7.10154975,8.221355,8.0
3862,F,1.6,1.2875,0.5,36.7693015,13.99047825,8.901743,10.0640725,14.0
3863,F,1.5125,1.1875,0.4,31.62386725,12.3320325,6.76135575,9.525432,10.0
3864,F,1.3625,1.0875,0.35,19.674553,7.0023265,4.082328,6.23689,10.0
3865,I,0.925,0.675,0.225,6.27941425,2.67902775,1.09145575,1.8427175,5.0
3866,M,1.4125,1.0875,0.4,24.38057,10.149121,5.8116475,7.7961125,9.0
3867,F,1.525,1.2125,0.4375,28.2644515,11.0846545,6.973977,10.0640725,18.0
3868,I,1.1625,0.9,0.2625,12.91319725,5.57067675,2.8066005,3.685435,10.0
3869,I,0.8,0.625,0.2125,4.97533725,2.16873675,0.963883,1.3891255,6.0
3870,F,1.1,0.8625,0.25,12.74310025,5.37223025,2.90582375,3.685435,9.0
3871,F,1.3125,1.075,0.35,21.829115,9.07184,4.5075705,6.3786375,8.0
3872,M,0.95,0.6875,0.25,6.30776375,2.50893075,1.31825175,2.1262125,11.0
3873,I,1.175,0.875,0.3,12.984071,5.74077375,2.948348,3.685435,8.0
3874,M,1.475,1.2,0.425,28.2644515,11.0846545,6.47786075,9.4970825,9.0
3875,I,0.4,0.3,0.0875,0.58116475,0.29766975,0.15592225,0.1417475,5.0
3876,F,1.675,1.3,0.475,37.1094955,15.37960375,8.74582075,10.2908685,22.0
3877,F,1.425,1.15,0.3625,32.545226,16.045817,5.82582225,6.747181,10.0
3878,I,1.25,1.0,0.3125,16.68368075,8.561549,3.72795925,3.7137845,8.0
3879,F,1.525,1.2,0.4375,35.81959325,13.93377925,7.7394135,10.0640725,14.0
3880,M,1.5125,1.15,0.4125,28.91649,13.4660125,6.08096775,7.98038425,9.0
3881,I,0.6875,0.5,0.15,2.9199985,1.2757275,0.63786375,0.9922325,6.0
3882,M,1.6125,1.25,0.3875,36.0322145,15.592225,8.54737425,9.355335,10.0
3883,I,0.75,0.55,0.1625,3.9972795,1.63009625,0.75126175,0.9922325,6.0
3884,F,1.2375,0.8875,0.3,14.1464005,6.3786375,3.572037,4.15320175,10.0
3885,F,1.775,1.3625,0.45,48.874538,23.6151335,11.0846545,13.4660125,11.0
3886,F,1.3125,1.075,0.325,22.41027975,9.6104805,5.71242425,6.6621325,11.0
3887,I,0.45,0.3125,0.0875,0.963883,0.26932025,0.15592225,0.226796,4.0
3888,I,1.3125,1.0625,0.35,21.21960075,11.453198,5.23048275,5.046211,8.0
3889,I,1.15,0.8875,0.3125,12.7289255,5.953395,2.42388225,3.118445,8.0
3890,I,1.0,0.7875,0.2625,9.8372765,3.55786225,1.7293195,2.551455,7.0
3891,M,1.0375,0.7625,0.2875,9.128539,3.798833,2.324659,2.6932025,11.0
3892,F,1.7125,1.325,0.525,44.4803655,18.540573,9.1568885,12.3887315,10.0
3893,M,1.5375,1.2,0.4125,34.6147395,17.42076775,7.64019025,8.3631025,10.0
3894,I,0.95,0.6875,0.2,7.93786,3.30271675,1.54504775,2.4097075,6.0
3895,M,1.5125,1.2125,0.4375,34.529691,12.77144975,7.38504475,12.3320325,16.0
3896,I,0.9625,0.7,0.2,7.44174375,3.01922175,1.3891255,1.8994165,6.0
3897,M,1.5,1.1875,0.375,31.9498865,15.4504775,7.3992195,7.2291225,11.0
3898,F,1.4375,1.125,0.425,30.51823675,13.73533275,6.2652395,8.6465975,12.0
3899,F,1.625,1.275,0.4875,39.2073585,16.0174675,9.87980075,11.55242125,13.0
3900,M,1.7,1.325,0.475,40.78075575,18.5122235,9.3836845,9.922325,10.0
3901,M,1.2875,0.9875,0.3125,19.17843675,6.9456275,3.7137845,5.2446575,8.0
3902,F,1.0875,0.95,0.3,11.8217415,4.37999775,3.86970675,4.1106775,10.0
3903,F,1.5375,1.175,0.425,33.92017675,14.92601175,6.80388,8.788345,10.0
3904,F,1.1375,0.8875,0.325,13.50853675,5.4147545,3.58621175,3.685435,9.0
3905,F,1.525,1.2125,0.3875,36.95357325,17.56251525,7.95203475,9.355335,13.0
3906,F,1.625,1.275,0.475,37.57726225,13.60776,7.6827145,12.0485375,20.0
3907,I,1.45,1.175,0.3625,24.30969625,11.26892625,5.216308,8.221355,10.0
3908,M,1.6625,1.3125,0.4625,43.3463855,19.731252,10.61688775,12.77144975,12.0
3909,F,1.4125,1.125,0.3625,27.20134525,13.1258185,5.59902625,7.37087,10.0
3910,M,1.4375,1.125,0.4,27.68328675,12.757275,5.76912325,7.5126175,12.0
3911,I,1.1625,0.925,0.275,14.81261375,7.030676,2.42388225,4.6776675,7.0
3912,I,1.125,0.8375,0.2625,12.48795475,5.329706,2.664853,3.175144,8.0
3913,F,1.5625,1.225,0.4375,35.4652245,15.26620575,7.10154975,10.6310625,15.0
3914,F,1.55,1.2125,0.4625,29.1149365,12.06271225,7.6827145,8.0796075,10.0
3915,F,1.4625,1.1625,0.4,28.179403,10.19164525,5.57067675,8.0796075,12.0
3916,F,1.5125,1.1875,0.3875,28.22192725,12.0485375,4.77689075,7.93786,10.0
3917,F,1.8,1.375,0.4625,51.95045875,25.16018125,11.5949455,13.7495075,11.0
3918,M,1.5875,1.2625,0.4,36.230661,12.48795475,6.67630725,11.509897,16.0
3919,I,0.95,0.75,0.25,7.9095105,3.2601925,1.68679525,2.1262125,7.0
3920,M,0.95,0.675,0.2375,6.53455975,2.211261,1.45999925,1.984465,10.0
3921,I,0.925,0.6875,0.225,6.0384435,2.721552,1.6159215,2.26796,8.0
3922,I,1.1125,0.8125,0.2625,10.47514025,4.0539785,1.80019325,2.9766975,7.0
3923,F,1.525,1.175,0.425,32.26309125,14.13222575,7.881161,8.0796075,10.0
3924,F,1.5625,1.2,0.375,29.95124675,13.05494475,5.88252125,10.0640725,9.0
3925,F,1.2625,1.0,0.2875,20.25571775,9.68135425,4.89028875,6.23689,9.0
3926,I,1.25,0.9625,0.35,17.78931125,7.04485075,3.798833,5.2446575,10.0
3927,M,1.675,1.3,0.375,46.67745175,20.638436,10.19164525,9.922325,9.0
3928,F,1.45,1.1625,0.3625,26.2232875,10.432616,5.896696,7.7961125,11.0
3929,I,0.6875,0.5,0.1625,3.345241,1.587572,0.69456275,1.13398,7.0
3930,I,1.25,0.9625,0.325,17.90270925,6.78970525,3.89805625,5.10291,10.0
3931,M,1.5625,1.2125,0.4125,27.76833525,13.08329425,6.13766675,7.087375,9.0
3932,F,1.7625,1.4125,0.4125,38.8722115,17.19397175,7.35669525,12.82814875,11.0
3933,M,1.325,1.0625,0.3875,20.638436,7.3992195,4.06815325,6.3786375,12.0
3934,I,0.9125,0.675,0.2,6.1518415,2.721552,1.0489315,1.984465,6.0
3935,M,0.85,0.65,0.2125,6.42116175,2.82077525,1.54504775,1.984465,9.0
3936,M,1.7375,1.4375,0.5375,58.1603595,20.53921275,13.891255,17.349894,12.0
3937,I,1.025,0.775,0.2375,9.4970825,4.32329875,1.8427175,2.551455,7.0
3938,F,1.7,1.3625,0.4,49.59745025,23.2182405,9.525432,13.60776,11.0
3939,I,0.75,0.5875,0.1625,3.96893,1.984465,0.80796075,1.20485375,4.0
3940,F,1.5125,1.1875,0.4,32.601925,11.1413535,7.27164675,11.623295,14.0
3941,M,1.525,1.1875,0.4,32.89959475,14.69921575,7.24329725,8.3631025,11.0
3942,I,0.825,0.575,0.2,3.3168915,1.644271,0.737087,1.1056305,7.0
3943,I,0.925,0.6875,0.25,5.443104,2.721552,1.65844575,1.984465,8.0
3944,I,0.725,0.525,0.175,2.948348,1.06310625,0.52446575,0.850485,7.0
3945,M,1.2125,0.975,0.35,18.01610725,8.788345,4.3374735,4.9611625,9.0
3946,I,1.375,1.075,0.325,21.38969775,10.6310625,4.72019175,5.2446575,9.0
3947,I,0.475,0.325,0.0625,0.75126175,0.2551455,0.1417475,0.2551455,4.0
3948,M,1.225,0.9625,0.2625,12.68640125,5.99591925,2.721552,3.685435,8.0
3949,M,1.475,1.1375,0.375,27.78251,13.777857,4.252425,7.0590255,9.0
3950,I,1.3625,1.025,0.35,18.7957185,8.8733935,4.06815325,6.3219385,9.0
3951,F,1.4125,1.1375,0.3625,26.52095725,11.4248485,5.216308,7.654365,9.0
3952,I,1.05,0.775,0.25,8.901743,3.912231,1.80019325,2.551455,7.0
3953,M,1.2125,0.95,0.3375,13.08329425,5.953395,2.67902775,4.37999775,14.0
3954,F,1.2,0.925,0.2875,15.66309875,7.200773,3.231843,4.9611625,10.0
3955,M,1.5,1.125,0.3875,26.54930675,11.16834275,5.2446575,8.3631025,10.0
3956,M,1.5,1.225,0.3875,31.127751,12.94154675,7.314171,9.922325,13.0
3957,I,0.8875,0.6375,0.225,5.31553125,2.721552,1.11980525,1.644271,7.0
3958,I,1.375,1.1,0.35,22.41027975,8.7032965,4.03980375,6.3786375,12.0
3959,F,1.45,1.3,0.425,33.57998275,15.77649675,6.7755305,9.4970825,9.0
3960,I,1.2,0.975,0.3125,16.68368075,8.845044,3.27436725,4.9611625,9.0
3961,M,1.625,1.25,0.4125,39.405805,20.695135,8.68912175,10.20582,10.0
3962,I,1.4375,1.125,0.3875,24.62154075,13.04077,4.932813,5.5281525,11.0
3963,M,1.5625,1.2375,0.4125,30.43318825,14.13222575,5.443104,11.056305,11.0
3964,F,1.1375,0.8875,0.3375,15.3937785,7.72523875,3.50116325,3.8271825,8.0
3965,M,1.5625,1.2125,0.425,38.82464025,14.92601175,6.350288,10.20582,14.0
3966,F,1.4375,1.1,0.375,28.22192725,14.38737125,6.19436575,7.8528115,9.0
3967,F,1.7375,1.2875,0.4125,37.1094955,16.76872925,7.98038425,11.29727575,8.0
3968,I,1.1,0.775,0.3,14.75591475,6.13766675,2.59397925,4.3941725,8.0
3969,I,1.3125,1.0625,0.3125,21.4038725,8.91591775,4.83358975,5.6699,8.0
3970,F,1.5625,1.175,0.4125,32.72949775,13.02659525,7.314171,8.6465975,10.0
3971,I,1.275,0.9875,0.3375,16.68368075,6.42116175,4.3941725,4.6776675,10.0
3972,M,1.4,1.1,0.4,29.44095575,14.7133905,6.08096775,7.37087,9.0
3973,M,1.525,1.2125,0.4,30.71668325,13.53688625,6.973977,8.9300925,11.0
3974,M,1.6125,1.25,0.475,38.838815,15.4504775,8.4198015,13.324265,26.0
3975,I,0.8875,0.675,0.25,6.066793,2.778251,1.06310625,1.984465,6.0
3976,M,1.375,1.025,0.375,24.45144375,10.95708175,5.40057975,7.1724235,10.0
3977,F,1.0625,0.85,0.2625,10.5176645,4.252425,2.3530085,3.2601925,9.0
3978,F,1.425,1.15,0.35,27.895908,10.77281,5.953395,7.7961125,16.0
3979,I,1.1375,0.9125,0.2875,13.87708025,6.78970525,3.6003865,4.252425,7.0
3980,I,1.2625,0.9875,0.3125,17.236496,8.50485,3.69960975,4.6776675,8.0
3981,I,1.275,0.975,0.275,15.74814725,6.0384435,3.1467945,4.6776675,7.0
3982,F,1.5125,1.15,0.375,30.03629525,10.149121,6.56290925,8.3631025,13.0
3983,I,0.7625,0.575,0.175,4.082328,1.77184375,1.00640725,1.13398,3.0
3984,F,1.25,1.0,0.325,16.42853525,7.654365,3.685435,4.706017,8.0
3985,I,0.6875,0.5125,0.2,2.62232875,1.247378,0.58116475,0.850485,4.0
3986,I,1.1625,0.9125,0.275,13.25339125,5.329706,2.8066005,4.1106775,9.0
3987,M,1.3,0.9875,0.35,18.1153305,6.78970525,4.309124,5.6699,11.0
3988,F,1.65,1.25,0.5,36.55668025,16.839603,8.71747125,11.90679,12.0
3989,I,1.2625,0.975,0.3125,17.36406875,7.5693165,2.96252275,5.96756975,7.0
3990,F,1.3375,1.0875,0.35,21.27629975,9.87980075,4.49339575,5.10291,12.0
3991,F,1.475,1.175,0.35,31.75144,15.52135125,6.78970525,8.9300925,9.0
3992,F,1.2625,0.975,0.35,17.13727275,5.9817445,4.252425,4.7910655,9.0
3993,I,1.2125,1.0,0.325,17.633389,7.711064,4.082328,5.2446575,8.0
3994,F,1.4,1.1125,0.4125,24.777463,8.9867915,5.10291,7.087375,13.0
3995,F,1.4875,1.1875,0.375,28.02348075,12.0485375,5.68407475,9.07184,13.0
3996,I,0.675,0.5,0.2,2.721552,1.0489315,0.55281525,0.850485,6.0
3997,I,1.475,1.125,0.425,24.62154075,10.47514025,4.89028875,6.747181,12.0
3998,F,1.55,1.2125,0.4125,34.74231225,14.911837,8.29222875,8.9867915,9.0
3999,F,1.1125,0.85,0.2625,12.71475075,4.53592,2.67902775,3.685435,13.0
4000,F,1.4875,1.1875,0.375,26.988724,11.75086775,6.19436575,7.7961125,15.0
4001,I,1.3,1.0125,0.3,17.36406875,7.41339425,3.01922175,5.85417175,8.0
4002,I,1.0375,0.775,0.25,9.241937,4.7343665,1.6159215,2.33883375,8.0
4003,I,1.5125,1.125,0.3875,26.20911275,10.149121,6.22271525,7.087375,11.0
4004,M,1.375,1.075,0.375,30.71668325,13.2392165,5.82582225,8.1363065,8.0
4005,M,1.675,1.3,0.475,42.354153,20.9502805,9.36950975,11.3398,11.0
4006,M,1.4,1.0875,0.375,25.86891875,11.623295,5.99591925,6.23689,8.0
4007,I,1.325,1.05,0.325,19.09338825,9.31281075,4.01145425,5.556502,9.0
4008,I,1.4375,1.125,0.4375,26.40755925,10.149121,6.22271525,8.3631025,10.0
4009,M,1.6875,1.3125,0.4625,45.68521925,19.94387325,9.695529,11.1980525,13.0
4010,M,1.4,1.15,0.35,25.58542375,10.77281,5.6699,6.690482,8.0
4011,I,1.0625,0.8125,0.2875,10.41844125,4.8477645,1.8994165,2.9766975,7.0
4012,I,1.05,0.8125,0.2875,9.752228,4.60679375,1.814368,2.9766975,8.0
4013,M,1.55,1.175,0.3875,24.6924145,10.262519,6.2085405,7.087375,10.0
4014,I,0.95,0.6875,0.225,8.66077225,4.0539785,1.8994165,2.324659,6.0
4015,F,0.8875,0.6875,0.225,6.53455975,2.211261,1.6159215,2.1262125,13.0
4016,I,0.9875,0.7625,0.2,8.674947,3.61456125,1.77184375,2.324659,8.0
4017,F,1.2,0.95,0.475,19.901349,6.87475375,3.86970675,5.2446575,22.0
4018,M,1.425,1.125,0.3875,23.85610425,8.97261675,5.1879585,7.0590255,11.0
4019,I,0.5375,0.375,0.125,1.020582,0.35436875,0.226796,0.4252425,4.0
4020,I,1.2125,0.8875,0.35,15.8193005,6.123492,3.9405805,3.742134,9.0
4021,F,1.425,1.15,0.375,30.0221205,14.911837,6.19436575,7.93786,10.0
4022,F,1.5625,1.2,0.4,32.545226,14.4298955,6.4353365,8.788345,11.0
4023,M,1.425,1.15,0.375,28.066005,12.133586,6.90310325,7.5126175,11.0
4024,F,1.5375,1.1875,0.4375,31.014353,11.623295,6.4920355,10.035723,14.0
4025,M,1.45,1.2,0.4125,32.89959475,14.7133905,7.52679225,9.4970825,10.0
4026,I,0.4375,0.3125,0.1375,0.9922325,0.2551455,0.226796,0.226796,4.0
4027,M,0.8625,0.65,0.225,5.8116475,2.42388225,1.54504775,1.984465,7.0
4028,M,1.3125,1.0,0.35,20.25571775,9.48290775,4.12485225,5.9250455,9.0
4029,I,0.7,0.525,0.2,3.04757125,1.247378,0.83631025,0.92135875,8.0
4030,I,1.2625,0.9625,0.3125,18.27125275,8.34892775,3.52951275,4.819415,8.0
4031,F,1.3625,1.125,0.3375,22.80717275,10.36174225,4.592619,6.23689,8.0
4032,F,1.5125,1.175,0.375,29.993771,14.0330025,5.386405,7.5126175,8.0
4033,F,1.025,0.7625,0.2625,10.02154825,4.309124,1.7293195,2.551455,10.0
4034,M,1.15,0.8625,0.3,12.246984,4.7910655,2.02698925,4.1106775,9.0
4035,M,1.0875,0.8625,0.2875,10.3475675,3.798833,2.2963095,3.5436875,7.0
4036,I,0.95,0.6875,0.2125,6.76135575,2.721552,1.28990225,2.26796,6.0
4037,I,0.475,0.325,0.1,0.75126175,0.2551455,0.226796,0.2551455,3.0
4038,F,1.6,1.275,0.4125,44.5370645,18.86659225,8.7599955,10.56018875,10.0
4039,M,1.5,1.1875,0.4125,35.777069,14.33067225,8.561549,9.7805775,10.0
4040,M,1.1625,0.8625,0.2875,13.36678925,5.443104,2.721552,4.252425,10.0
4041,F,1.55,1.2625,0.4375,36.95357325,14.855138,7.55514175,10.0640725,18.0
4042,M,1.5625,1.2125,0.4125,35.19590425,16.6411565,8.164656,9.19941275,10.0
4043,I,1.425,1.1,0.325,20.3265915,9.87980075,3.5436875,5.953395,9.0
4044,M,1.55,1.1875,0.4125,39.22153325,20.14231975,8.8166945,9.7805775,10.0
4045,I,0.8125,0.625,0.25,7.55514175,3.005047,1.60174675,2.4097075,6.0
4046,I,1.1875,0.8625,0.3,12.77144975,5.23048275,2.62232875,3.5436875,7.0
4047,M,1.475,1.125,0.3875,27.62658775,12.133586,6.67630725,7.04485075,8.0
4048,F,1.4875,1.15,0.4125,29.540179,12.94154675,6.6054335,7.5126175,10.0
4049,M,1.075,0.85,0.25,11.55242125,4.3374735,2.65067825,3.8271825,8.0
4050,F,1.55,1.175,0.375,33.26813825,13.25339125,5.8683465,9.17106325,12.0
4051,F,1.4125,1.0875,0.4,25.44367625,11.94931425,6.39281225,6.3786375,9.0
4052,M,1.625,1.2625,0.425,33.8776525,13.67863375,6.8889285,9.4970825,11.0
4053,I,0.6,0.4375,0.1625,1.82854275,0.97805775,0.52446575,0.60951425,5.0
4054,M,1.5,1.1875,0.3625,25.41532675,10.4042665,5.499803,7.087375,10.0
